,name,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
47,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,9,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,0.612,0.627,0.422,0.0,0.073,-8.331,0.0276,94.951,0.43,78,254366
48,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,10,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,0.326,0.603,0.359,0.0,0.11,-10.513,0.0492,119.995,0.276,79,334085
49,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,11,5chnRTB9qMK3W1M41SnU9s,spotify:track:5chnRTB9qMK3W1M41SnU9s,0.79,0.665,0.252,0.0,0.176,-13.961,0.0442,106.917,0.358,77,156298
50,loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,12,3YkNIrAvbKNrrwwEd7NVLl,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,0.869,0.369,0.267,0.0,0.103,-12.561,0.0539,87.038,0.172,78,277157
51,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,13,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,0.156,0.702,0.759,0.0,0.123,-8.292,0.055,129.951,0.237,79,218005
52,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,14,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63,0.528,0.42,0.405,0.0,0.337,-9.042,0.0579,142.172,0.285,77,245542
53,The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,15,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,0.408,0.638,0.421,0.0,0.147,-8.655,0.0265,100.026,0.394,77,196900
54,Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,16,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66,0.662,0.673,0.334,0.00169,0.106,-10.99,0.0271,104.002,0.244,76,216662
55,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,17,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.675,0.533,0.292,0.0,0.102,-10.63,0.0378,154.128,0.205,79,238857
56,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,18,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.639,0.785,0.4,0.0,0.193,-9.401,0.0642,110.025,0.143,79,222072
57,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.68,0.479,0.48,0.0,0.0949,-8.889,0.0426,171.962,0.308,78,183879
58,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,20,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.779,0.508,0.45,0.0,0.105,-8.495,0.0419,69.993,0.266,78,213281
59,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,21,5Bedn0svl0ZD7RGmJkmKKw,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.797,0.476,0.389,0.000915,0.106,-8.886,0.0263,83.664,0.255,78,238707
60,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,22,7Mts0OfPorF4iwOomvfqn1,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0315,0.362,0.865,3.3e-06,0.103,-4.577,0.0552,176.142,0.32,78,228800
61,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,23,3hlGuz3loYoLfI3bpwieWq,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.763,0.378,0.564,0.0,0.359,-7.107,0.0355,104.977,0.267,77,243876
62,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,24,7ogK4lJDVDMU6A6vYR5rvD,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.613,0.619,0.533,0.0,0.125,-7.994,0.0337,95.956,0.287,79,263817
63,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,25,1Zai5UJ2di3qEuR2HeT2s8,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.692,0.762,0.268,0.0,0.154,-11.429,0.0648,90.835,0.382,77,131907
64,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,26,18WFFUIsewmA8g31KAeo3e,spotify:track:18WFFUIsewmA8g31KAeo3e,0.828,0.434,0.52,1.6e-06,0.294,-10.279,0.0486,168.177,0.499,77,249807
65,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,27,0g4fMVo4JjwnIpTfFfLdxS,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,0.82,0.582,0.599,0.0,0.17,-9.811,0.0652,140.015,0.518,76,240206
66,Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,28,3zMDGj4D8ogaYgAIZPeU7S,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,0.767,0.348,0.394,0.0,0.0628,-8.258,0.0412,178.199,0.264,76,283958
67,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,29,2913xXOVAIDAqxzV2g4VcU,spotify:track:2913xXOVAIDAqxzV2g4VcU,0.6,0.447,0.588,0.0,0.134,-7.95,0.0557,183.669,0.569,75,238242
68,Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,30,2CnjDMdpRjlWv04Xk3s6MW,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,0.775,0.462,0.381,0.000516,0.102,-10.548,0.0295,138.194,0.149,75,240893
69,The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,31,1DTRUYVd8rYpla9hhVVwjo,spotify:track:1DTRUYVd8rYpla9hhVVwjo,0.897,0.493,0.259,3.55e-06,0.119,-11.743,0.0275,94.682,0.437,75,224744
