Song,Album,Lyrics
Untouchable (Taylor’s Version),Fearless (Taylor’s Version),"Untouchable like a distant diamond sky  I'm reaching out and I just can't tell you why  I'm caught up in you, I'm caught up in you  Untouchable, burning brighter than the sun  And when you're close, I feel like coming undone  In the middle of the night, when I'm in this dream  It's like a million little stars spelling out your name  You got to come on, come on, say that we'll be together  Come on, come on, little taste of heaven  Oh, oh  It's half full and I won't wait here all day  I know you're saying that you'd be here anyway  But you're untouchable, burning brighter than the sun  And now that you're close, I feel like coming undone  You got to come on, come on, say that we'll be together  Come on, come on, oh  In the middle of the night, waking from this dream  I want to feel you by my side, standing next to me  You got to come on, come on, say that we'll be together  Come on, come on, little taste of heaven  I'm caught up in you  Oh-oh, oh, oh-oh  But you're untouchable, burning brighter than the sun  Now that you're close, I feel like coming undone  You got to come on, come on, say that we'll be together  Come on, come on, oh, oh-oh  In the middle of the night, when I'm in this dream  You got to come on, come on, say that we'll be together  Come on, come on, come on  In the middle of the night, waking from this dream  Come on, come on, little taste of heaven  Oh, oh-oh-oh, oh-oh-oh, oh  And in the middle of the night, when I'm in this dream  It's like a million little stars spelling out your name  You got to come on, come on, oh  Come on, come on  Come on, come on, oh, oh, oh, oh  It's like a million little stars spelling out your name  They're spelling out your name, oh"
White Horse (Taylor’s Version),Fearless (Taylor’s Version),"Say you're sorry, that face of an angel  Comes out just when you need it to  As I paced back and forth all this time  'Cause I honestly believed in you  Holdin' on, the days drag on  Stupid girl, I shoulda known, I shoulda known  That I'm not a princess, this ain't a fairytale  I'm not the one you'll sweep off her feet, lead her up the stairwell  This ain't Hollywood, this is a small town  I was a dreamer before you went and let me down  Now it's too late for you and your white horse  To come around  Maybe I was naive, got lost in your eyes  And never really had a chance  Well, my mistakе, I didn't know to be in love  You had to fight to have thе upper hand  I had so many dreams about you and me  Happy endings, now I know  And there you are on your knees  Beggin' for forgiveness, beggin' for me  Just like I always wanted  But I'm so sorry  'Cause I'm not your princess, this ain't our fairytale  I'm gonna find someone someday  Who might actually treat me well  This is a big world, that was a small town  There in my rearview mirror disappearing now  And it's too late for you and your white horse  Now it's too late for you and your white horse  To catch me now  Oh, whoa, whoa, whoa  Try and catch me now, oh  It's too late to catch me now"
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),"You're on the phone with your girlfriend, she's upset  She's going off about something that you said  'Cause she doesn't get your humor like I do  I'm in my room, it's a typical Tuesday night  I'm listening to the kind of music she doesn't like  And she'll never know your story like I do  'Cause she wears short skirts, I wear T-shirts  She's Cheer Captain and I'm on the bleachers  Dreaming 'bout the day when you wake up and find  That what you're looking for has been here the whole time  If you could see that I'm the onе who understands you  Been here all along, so why can't you see?  You bеlong with me, you belong with me  Walking the streets with you and your worn-out jeans  I can't help thinking this is how it ought to be  Laughing on a park bench, thinking to myself  Hey, isn't this easy?  And you've got a smile that could light up this whole town  I haven't seen it in a while since she brought you down  You say you're fine, I know you better than that  Hey, whatcha doing with a girl like that?  She wears high heels, I wear sneakers  She's Cheer Captain and I'm on the bleachers  Dreaming about the day when you wake up and find  That what you're looking for has been here the whole time  If you could see that I'm the one who understands you  Been here all along, so why can't you see?  You belong with me  Standing by and waiting at your back door  All this time how could you not know, baby?  You belong with me, you belong with me  Oh, I remember you driving to my house  In the middle of the night  I'm the one who makes you laugh  When you know you're 'bout to cry  I know your favorite songs  And you tell me 'bout your dreams  Think I know where you belong  Think I know it's with me  Can't you see that I'm the one who understands you?  Been here all along, so why can't you see?  You belong with me  Have you ever thought just maybe  You belong with me?  You belong with me"
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),"All this time I was wasting hoping you would come around  I've been giving out chances every time and all you do is let me down  And it's taken me this long, baby, but I've figured you out  And you're thinking we'll be fine again, but not this time around  You don't have to call anymore  I won't pick up the phone  This is the last straw  Don't wanna hurt anymore  And you can tell me that you're sorry  But I don't believe you, baby, like I did before  You're not sorry  No, no, oh-oh  You're looking so innocent, I might believe you if I didn't know  Could've loved you all my life if you hadn't lеft me waiting in the cold  And you've got your sharе of secrets  And I'm tired of being last to know, oh  And now you're asking me to listen  'Cause it's worked each time before  But you don't have to call anymore  I won't pick up the phone  No, no, oh-oh  You're not sorry  You had me crawling for you, honey  And it never would've gone away, no  You used to shine so bright, but I watched all of it fade  So you don't have to call anymore  I won't pick up the phone  This is the last straw  There's nothing left to beg for  And you can tell me that you're sorry  No, no, no, no, no, no, no, no, no, no, no, no  Woah, oh, oh oh, oh oh oh  Oh, oh, oh, no, no, no, no, no, no"
Call It What You Want,reputation,"My castle crumbled overnight  I brought a knife to a gunfight  They took the crown, but it's alright  All the liars are calling me one  Nobody's heard from me for months  I'm doin' better than I ever was  'Cause  My baby's fit like a daydream  Walkin' with his head down  I'm the one he's walking to  So call it what you want, yeah  Call it what you want to  My baby's fly like a jet stream  High above the whole scene  Loves me like I'm brand new  So call it what you want, yeah  Call it what you want to  All my flowers grew back as thorns  Windows boarded up after the storm  He built a fire just to keep me warm  All the drama queens taking swings  All the jokers dressing up as kings  They fade to nothing when I look at him  And I know I make the same mistakes every time  Bridges burn, I never learn  At least I did one thing right  I did one thing right  I'm laughing with my lover, makin' forts under covers  Trust him like a brother  Yeah, you know I did one thing right  Starry eyes sparkin' up my darkest night  Loves me like I'm brand new  (Call it what you want, call it what you want, call it)  So call it what you want, yeah  I want to wear his initial on a chain 'round my neck  Chain 'round my neck  Not because he owns me  But 'cause he really knows me  Which is more than they can say, I  I recall late November  Holding my breath, slowly, I said  ""You don't need to save me  But would you run away with me?""  Yes (Would you run away?)  I'm the one he's walking to  (Call it what you want, call it what you want, call it)  So call it what you want, yeah (Call it what you want it to)  Call it what you want to  My baby's fly like a jet stream (Oh)  High above the whole scene  (Call it what you want, call it)  (Call it what you want, call it what you want, call it)  (Call it what you want, call it what you want, call it)  (Call it what you want, call it what you want, call it)  Call it what you want, yeah  Call it what you want to"
Dancing with Our Hands Tied,reputation,"I, I loved you in secret  First sight, yeah, we love without reason  Oh, twenty-five years old  Oh, how were you to know? And  My, my love had been frozen  Deep blue, but you painted me golden  Oh, and you held me close  Oh, how was I to know? I -  Could've spent forever with your hands in my pockets  Picture of your face in an invisible locket  You said there was nothing in the world that could stop it  I had a bad feeling  And darling, you had turned my bed into a sacred oasis  People started talking, putting us through our paces  I knew there was no one in the world who could take it  I had a bad feeling  But we were dancing  Dancing with our hands tied, hands tied  Yeah, we were dancing  Like it was the first time, first time  Yeah, we were dancing  Dancing with our hands tied, hands tied  Yeah, we were dancing  And I had a bad feeling  But we were dancing  I, I loved you in spite of  Deep fears that the world would divide us  So, baby, can we dance  Oh, through an avalanche? And  Say, say that we got it  I'm a mess, but I'm the mess that you wanted  Oh, 'cause it's gravity  Oh, keeping you with me, I -  I had a bad feeling  Dancing with our hands tied, hands tied  Yeah, we were dancing (Knew we had our hands tied)  And I had a bad feeling  I'd kiss you as the lights went out  Swaying as the room burned down  I'd hold you as the water rushes in  If I could dance with you again  I'd kiss you as the lights went out  I'd hold you as the water rushes in  If I could dance with you again (Again)  Dancing with our hands tied, hands tied  Oh, yeah, we were dancing  Like it was the first time, first time (First time, first time)  Yeah, we were dancing (Oh)  Dancing with our hands tied, hands tied (Dancing with our hands tied)  Yeah, we were dancing (Ooh)  And I had a bad feeling (Had a bad feeling)  But we were dancing  (Ooh-ooh, ooh-ooh)  Hands tied, hands tied (Dancing)"
Dress,reputation,"Our secret moments in a crowded room  They got no idea about me and you  There is an indentation in the shape of you  Made your mark on me, a golden tattoo  All of this silence and patience, pining and anticipation  My hands are shaking from holding back from you  Ha, ah, ah  All of this silence and patience, pining and desperately waiting  My hands are shaking from all this  Ah, ha, ha, ha-ah  Say my name and everything just stops  I don't want you like a best friend  Only bought this dress so you could take it off  Take it off, ha, ha, ha-ah  Carve your name into my bedpost  'Cause I don't want you like a best friend  Only bought this dress so you could take it off  Take it off, ha, ha, ha-ah  Inescapable, I'm not even gonna try  And if I get burned, at least we were electrified  I'm spilling wine in the bathtub  You kiss my face and we're both drunk  Everyone thinks that they know us  But they know nothin' about  Only bought this dress so you could take it off  Take it off, ha, ha  Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah  Only bought this dress so you could take it off  Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah  Only bought this dress so you could take it off  Flashback when you met me, your buzzcut and my hair bleached  Even in my worst times, you could see the best in me  Flashback to my mistakes, my rebounds, my earthquakes  Even in my worst lies, you saw the truth in me  And I woke up just in time, now I wake up by your side  My one and only, my lifeline  I woke up just in time, now I wake up by your side  My hands shake, I can't explain this  Ah, ha, ha, ha-ah  There is an indentation in the shape of you  Only bought this dress so you could take it off  You made your mark on me, golden tattoo  Only bought this dress so you could take it off"
End Game,reputation,"I wanna be your end game  I wanna be your first string  I wanna be your A-Team (Woah, woah, woah)  I wanna be your end game, end game  Big reputation, big reputation  Ooh, you and me, we got big reputations, ah  And you heard about me, ooh  I got some big enemies (Yeah)  Big reputation, big reputation  Ooh, you and me would be a big conversation, ah (Git, git)  And I heard about you, ooh (Yeah)  You like the bad ones, too  You so dope, don't overdose, I'm so stoked, I need a toast  We do the most, I'm in the Ghost like I'm whippin' a boat (Boat, boat, boat)  I got a reputation, girl, that don't precede me (Yeah)  I'm one call away whenever you need me (Yeah)  I'm in a G5 (Yeah), come to the A-Side (Yeah)  I got a bad boy persona, that's what they like (That's what they like)  You love it, I love it too 'cause you my type (You my type)  You hold me down and I protect you with my life (My life, my life)  I don't wanna touch you (I don't wanna be)  Just another ex-love (You don't wanna see)  I don't wanna miss you (I don't wanna miss you)  Like the other girls do  I don't wanna hurt you (I just wanna be)  Drinking on a beach with (You all over me)  I know what they all say (I know what they all say)  But I ain't tryna play  I wanna be your end game (End game)  I wanna be your first string (First string)  I wanna be your A-Team (A-Team)  I wanna be your end game, end game  Knew her when I was young, reconnected when we were little bit older  Both sprung, I got issues and chips on both of my shoulders  Reputation precedes me, in rumors, I'm knee-deep  The truth is, it's easier to ignore it, believe me  Even when we'd argue, we'd not do it for long  And you understand the good and bad end up in the song  For all your beautiful traits and the way you do it with ease  For all my flaws, paranoia, and insecurities  I've made mistakes and made some choices, that's hard to deny  After the storm, something was born on the 4th of July  I've passed days without fun, this end game is the one  With four words on the tip of my tongue, I'll never say it  Drinking on a beach with (You all over me)  I know what they all say (Yeah)  But I ain't tryna play  I wanna be your end game (End game)  I wanna be your first string (Wanna be your first string)  I wanna be your A-Team (A-Team)  And you heard about me, ooh  I got some big enemies, hey  Big reputation, big reputation, yeah  Ooh, you and me would be a big conversation, ah  And I heard about you, ooh  You like the bad ones, too  I hit you like bang, we tried to forget it, but we just couldn't  And I bury hatchets, but I keep maps of where I put 'em  Reputation precedes me, they told you I'm crazy  I swear I don't love the drama, it loves me  And I can't let you go, your handprints on my soul  It's like your eyes are liquor, it's like your body is gold  You've been callin' my bluff on all my usual tricks (Ooh)  So here's the truth from my red lips (Ah)  I wanna be your end game (End game)  I wanna be your first string (Me and you; First string)  I wanna be your A-Team (Be your A-Team now; A-Team)  I wanna be your end game, end game  I wanna be your end game (Oh, I do)  I wanna be your first string (First string)"
Getaway Car,reputation,"No, nothing good starts in a getaway car  It was the best of times, the worst of crimes  I struck a match and blew your mind  But I didn't mean it and you didn't see it  The ties were black, the lies were white  In shades of gray in candlelight  I wanted to leave him, I needed a reason  ""X"" marks the spot where we fell apart  He poisoned the well, I was lyin' to myself  I knew it from the first Old Fashioned, we were cursed  We never had a shotgun shot in the dark (Oh!)  You were drivin' the getaway car  We were flyin', but we'd never get far  Don't pretend it's such a mystery  Think about the place where you first met me  Ridin' in a getaway car  There were sirens in the beat of your heart  Should've known I'd be the first to leave  Think about the place where you first met me  In a getaway car, oh-oh-oh  No, they never get far, oh-oh-ah  No, nothing good starts in a getaway car  It was the great escape, the prison break  The light of freedom on my face  But you weren't thinkin' and I was just drinkin'  While he was runnin' after us, I was screamin', ""Go, go, go!""  But with three of us, honey, it's a sideshow  And a circus ain't a love story and now we're both sorry  (We're both sorry)  ""X"" marks the spot where we fell apart  He poisoned the well, every man for himself  I knew it from the first Old Fashioned, we were cursed  It hit you like a shotgun shot to the heart (Oh!)  We were jet-set, Bonnie and Clyde (Oh-oh)  Until I switched to the other side, to the other side  It's no surprise I turned you in (Oh-oh)  'Cause us traitors never win  I'm in a getaway car  I left you in a motel bar  Put the money in a bag and I stole the keys  That was the last time you ever saw me (Oh!)  Drivin' the getaway car  We were flyin', but we'd never get far (Don't pretend)  Don't pretend it's such a mystery  Ridin' in a getaway car  There were sirens in the beat of your heart (Should've known)  Should've known I'd be the first to leave  I was ridin' in a getaway car  I was cryin' in a getaway car  I was dyin' in a getaway car  Said goodbye in a getaway car  Ridin' in a getaway car  I was cryin' in a getaway car  Said goodbye in a getaway car"
Gorgeous,reputation,"Gorgeous  You should take it as a compliment  That I got drunk and made fun of the way you talk  You should think about the consequence  Of your magnetic field being a little too strong  And I got a boyfriend, he's older than us  He's in the club doin' I don't know what  You're so cool, it makes me hate you so much (I hate you so much)  Whisky on ice, Sunset and Vine  You've ruined my life by not being mine  You're so gorgeous  I can't say anything to your face  'Cause look at your face (Gorgeous)  And I'm so furious  At you for making me feel this way  But what can I say?  You're gorgeous  You should take it as a compliment  That I'm talking to everyone here but you (But you, but you)  And you should think about the consequence  Of you touching my hand in a darkened room (Dark room, dark room)  If you've got a girlfriend, I'm jealous of her  But if you're single that's honestly worse  'Cause you're so gorgeous it actually hurts (Honey, it hurts)  Ocean blue eyes looking in mine  I feel like I might sink and drown and die  You're so gorgeous  I can't say anything to your face (To your face)  'Cause look at your face (Look at your face, gorgeous)  And I'm so furious  At you for making me feel this way (Feel this way)  But what can I say?  You make me so happy it turns back to sad  There's nothing I hate more than what I can't have  And you are so gorgeous it makes me so mad (Mmh)  You make me so happy it turns back to sad (Yeah)  There's nothing I hate more than what I can't have and  Guess I'll just stumble on home to my cats (Yeugh) alone  Unless, you wanna come along? (Oh)  'Cause look at your face (Look at your face, gorgeous)  And I'm so furious (I'm so furious)  At you for making me feel this way (Feel this way)  But what can I say? (I say)  You're gorgeous  You make me so happy it turns back to sad (Yeah)  There's nothing I hate more than what I can't have  And you are so gorgeous it makes me so mad (Mmh)  You're gorgeous  You make me so happy it turns back to sad (It turns back to sad)  There's nothing I hate more than what I can't have (What I can't have)  You are so gorgeous it makes me so mad (Mmh)  You're gorgeous"
I Did Something Bad,reputation,"I never trust a narcissist, but they love me  So I play 'em like a violin  And I make it look, oh, so easy  'Cause for every lie I tell them, they tell me three  This is how the world works  Now all he thinks about is me  I can feel the flames on my skin  Crimson red paint on my lips  If a man talks shit, then I owe him nothing  I don't regret it one bit 'cause he had it coming  They say I did something bad  Then why's it feel so good?  They say I did something bad  But why's it feel so good?  Most fun I ever had  And I'd do it over and over and over again if I could  It just felt so good, good  Ra-di-di-di-di-di-di-di-di-di-da-da  Ra-di-di-di-di-di-di-di-di-di-da-da  Ra-di-di-di-di-di-di-di-di-di-da-da  Da-da, da-da  I never trust a playboy, but they love me  So I fly 'em all around the world  And I let them think they saved me  They never see it comin', what I do next  This is how the world works  You gotta leave before you get left  I can feel the flames on my skin  He says, ""Don't throw away a good thing""  But if he drops my name, then I owe him nothin'  And if he spends my change, then he had it comin'  They say I did something bad (Oh)  Then why's it feel so good?  Ra-di-di-di-di-di-di-di-di-di-da-da  Ra-di-di-di-di-di-di-di-di-di-da-da (It just felt so good)  Ra-di-di-di-di-di-di-di-di-di-da-da  They're burning all the witches even if you aren't one  They got their pitchforks and proof, their receipts and reasons  They're burning all the witches even if you aren't one  So light me up (Light me up), light me up (Light me up)  Light me up, go ahead and light me up (Light me up)  Light me up (Light me up), light me up (Light me up)  Light me up (Light me up), light me up  They say I did something bad (Oh)  Then why's it feel so good? (So good)  They say I did something bad  But why's it feel so good? (Good)  Most fun I ever had (Most fun I ever had)  And I'd do it over and over and over again if I could  It just felt so good (Good), good  Oh, you say I did something bad (You say I did something bad?)  Why's it feel so good, good?  So bad, why's it feel so good?  Why's it feel, why's it feel so good? (Bad)  It just felt so good, good"
King Of My Heart,reputation,"I'm perfectly fine, I live on my own  I made up my mind, I'm better off bein' alone  We met a few weeks ago  Now you try on callin' me ""baby"" like tryin' on clothes  Salute to me, I'm your American queen  And you move to me like I'm a Motown beat  And we rule the kingdom inside my room  'Cause all the boys and their expensive cars  With their Range Rovers and their Jaguars  Never took me quite where you do  And all at once, you are the one I have been waiting for  King of my heart, body and soul, ooh-woah  And all at once, you're all I want, I'll never let you go  King of my heart, body and soul, ooh-woah  And all at once, I've been waiting, waiting  Ooh-woah, ooh-woah  And all at once, you are the one, I have been waiting, waiting  Body and soul, ooh-woah  And all at once  Late in the night, the city's asleep  Your love is a secret I'm hoping, dreaming, dying to keep  Change my priorities  The taste of your lips is my idea of luxury  And you move to me like I'm a Motown beat  And we rule the kingdom inside my room (Inside my room, oh)  'Cause all the boys and their expensive cars  With their Range Rovers and their Jaguars  Never took me quite where you do (Where you do)  And all at once, you're all I want, I'll never let you go  King of my heart (My heart), body and soul, ooh-woah  And all at once (Hey), I've been waiting, waiting (Waiting)  Ooh-woah, ooh-woah  And all at once, you are the one I have been waiting (Waiting), waiting (Waiting)  Body and soul, ooh-woah  Is this the end of all the endings?  My broken bones are mending  With all these nights we're spending  Up on the roof with a school girl crush  Drinking beer out of plastic cups  Say you fancy me, not fancy stuff  Baby, all at once, this is enough  King of my heart, body and soul, ooh-woah  And all at once, you're all I want, I'll never let you go  King of my heart (My heart), body and soul (My soul), ooh-woah  And all at once, I've been waiting, waiting  Ooh-woah, ooh-woah (Ooh-woah)  And all at once, you are the one I have been waiting, waiting  Body and soul, ooh-woah"
Look What You Made Me Do,reputation,"I don't like your little games  Don't like your tilted stage  The role you made me play  Of the fool, no, I don't like you  I don't like your perfect crime  How you laugh when you lie  You said the gun was mine  Isn't cool, no, I don't like you (Oh)  But I got smarter, I got harder in the nick of time  Honey, I rose up from the dead, I do it all the time  I've got a list of names and yours is in red, underlined  I check it once, then I check it twice, oh!  Ooh, look what you made me do  Look what you made me do  Look what you just made me do  Look what you just made me -  Ooh, look what you made me do  Look what you just made me do  Look what you just made me do  I don't like your kingdom keys  They once belonged to me  You asked me for a place to sleep  Locked me out and threw a feast (What?)  The world moves on, another day, another drama, drama  But not for me, not for me, all I think about is karma  And then the world moves on, but one thing's for sure  Maybe I got mine, but you'll all get yours  I don't trust nobody and nobody trusts me  I'll be the actress starring in your bad dreams  I don't trust nobody and nobody trusts me  I'll be the actress starring in your bad dreams  (Ooh, look what you made me do  Look what you made me do  Look what you made me do  Look what you just made me - )  ""I'm sorry, the old Taylor can't come to the phone right now  ""Why? Oh, 'cause she's dead!"" (Oh)  Look what you just made me do  Ooh, look what you made me do"
New Year’s Day,reputation,"There's glitter on the floor after the party  Girls carrying their shoes down in the lobby  Candle wax and Polaroids on the hardwood floor  You and me from the night before, but  Don't read the last page  But I stay when you're lost and I'm scared and you're turning away  I want your midnights  But I'll be cleaning up bottles with you on New Year's Day  You squeeze my hand three times in the back of the taxi  I can tell that it's gonna be a long road  I'll be there if you're the toast of the town, babe  Or if you strike out and you're crawling home  Don't read the last page  But I stay when it's hard or it's wrong or we're making mistakes  I want your midnights  Hold on to the memories, they will hold on to you  Hold on to the memories, they will hold on to you  Hold on to the memories, they will hold on to you  And I will hold on to you  Please, don't ever become a stranger  Whose laugh I could recognize anywhere  Please, don't ever become a stranger  Whose laugh I could recognize anywhere  Candle wax and Polaroids on the hardwood floor  You and me forevermore  Please, don't ever become a stranger  (To the memories, they will hold on to you)  Whose laugh I could recognize anywhere  (Hold on to the memories, they will hold on to you)  Please, don't ever become a stranger  (Hold on to the memories, they will hold on to you)  Whose laugh I could recognize anywhere  (I will hold on to you)"
So It Goes...,reputation,"See you in the dark  All eyes on you, my magician  All eyes on us  You make everyone disappear, and  Cut me into pieces  Gold cage, hostage to my feelings  Back against the wall  Trippin', trip-trippin' when you're gone  'Cause we break down a little  But when you get me alone, it's so simple  'Cause, baby, I know what you know  We can feel it  And all the pieces fall right into place  Getting caught up in a moment  Lipstick on your face  So it goes  I'm yours to keep  And I'm yours to lose  You know I'm not a bad girl, but I  Do bad things with you  So it goes  Met you in a bar  All eyes on me, your illusionist  All eyes on us  I make all your gray days clear  And wear you like a necklace  I'm so chill, but you make me jealous  But I got your heart  Skippin', skip-skippin' when I'm gone  'Cause we break down a little  But when I get you alone, it's so simple  'Cause, baby, I know what you know  Come here, dressed in black now  So, so, so it goes  Scratches down your back now  So, so, so it goes  You did a number on me  But, honestly, baby, who's counting?  I did a number on you  But, honestly, baby, who's counting?  You did a number on me  But, honestly, baby, who's counting?  Who's counting? (One, two, three)  And all the pieces fall (Pieces fall) right into place  Getting caught up in a moment (Caught up, caught up)  Lipstick on your face  So it goes  I'm yours to keep (Oh)  And I'm yours to lose (Baby)  You know I'm not a bad girl, but I  So, so, so it goes  Come here, dressed in black now"
This Is Why We Can’t Have Nice Things,reputation,"It was so nice throwing big parties  Jump into the pool from the balcony  Everyone swimming in a champagne sea  And there are no rules when you show up here  Bass beat rattling the chandelier  Feeling so Gatsby for that whole year  So, why'd you have to rain on my parade?  I'm shaking my head and locking the gates  This is why we can't have nice things, darling  Because you break them, I had to take them away  This is why we can't have nice things, honey (Oh)  Did you think I wouldn't hear all the things you said about me?  This is why we can't have nice things  It was so nice being friends again  There I was, giving you a second chance  But you stabbed me in the back while shaking my hand  And therein lies the issue, friends don't try to trick you  Get you on the phone and mind-twist you  And so I took an axe to a mended fence  But I'm not the only friend you've lost lately (Mm-mm)  If only you weren't so shady  This is why we can't have nice things, darling (Yeah)  Because you break them, I had to take them away  This is why we can't have nice (Nice things) things (Baby), honey  Did you think I wouldn't hear all the things you said about me?  This is why we can't have -  Here's a toast to my real friends  They don't care about the he-said, she-said  And here's to my baby  He ain't reading what they call me lately  And here's to my mama  Had to listen to all this drama  And here's to you  'Cause forgiveness is a nice thing to do  Haha, I can't even say it with a straight face  This is why we can't have nice things, darling (Darling)  Because you break them, I had to take them away  This is why we can't have nice (Uh-uh) things (Oh, no), honey (Baby, oh)  Did you think I wouldn't hear all the things you said about me?  This is why we can't have nice things, darling  (And here's to my real friends)  Because you break them, I had to take them  (And here's to my baby)  Nice things, honey  (They didn't care about that he-said, she-said)  Did you think I wouldn't hear all the things you said about me?"
Don’t Blame Me,reputation,"Don't blame me, love made me crazy  If it doesn't, you ain't doin' it right  Lord, save me, my drug is my baby  I'll be usin' for the rest of my life  I've been breakin' hearts a long time  And toyin' with them older guys  Just playthings for me to use  Something happened for the first time  In the darkest little paradise  Shaking, pacin', I just need you  For you, I would cross the line  I would waste my time  I would lose my mind  They say, ""She's gone too far this time""  I'll be usin' for the rest of my life  Don't blame me, love made me crazy  If it doesn't, you ain't doin' it right  Oh, Lord, save me, my drug is my baby  I'll be usin' for the rest of my life  My name is whatever you decide  And I'm just gonna call you mine  I'm insane, but I'm your baby (Your baby)  Echoes (Echoes) of your name inside my mind  Halo hiding my obsession  I once was poison ivy, but now I'm your daisy  And, baby, for you  I would (I would) fall from grace  Just to (Just to) touch your face  If you (If you) walk away, I'd beg you on my knees to stay  Lord, save me, my drug is my baby  I'll be usin' for the rest of my life (Yeah, ooh)  Don't blame me, love made me crazy  If it doesn't, you ain't doin' it right (Doin' it right)  Oh, Lord, save me, my drug is my baby  I get so high, oh  Every time you're, every time you're lovin' me  You're lovin' me  Trip of my life, oh  Every time you're, every time you're touchin' me  You're touchin' me  Every time you're, every time you're lovin' me  Oh, Lord, save me, my drug is my baby  I'll be usin' for the rest of my life  (Usin' for the rest of my life, oh-woah-oh-oh)  Don't blame me, love made me crazy  If it doesn't, you ain't doin' it right (Doin' it right, no)  Lord, save me, my drug is my baby  I'll be usin' for the rest of my life, oh-oh  Don't blame me, love made me crazy (Oh-oh-oh)  If it doesn't, you ain't doin' it right (You ain't doin' it right)  Oh, Lord, save me, my drug is my baby  I'll be usin' for the rest of my life (I'll be usin', I'll be usin')  You're lovin' me  Oh, Lord, save me, my drug is my baby"
...Ready for It?,reputation,"Knew he was a killer first time that I saw him  Wondered how many girls he had loved and left haunted  But if he's a ghost, then I can be a phantom  Holdin' him for ransom, some  Some boys are tryin' too hard, he don't try at all though  Younger than my exes, but he act like such a man, so  I see nothing better, I keep him forever  Like a vendetta-ta  I, I, I see how this is gon' go  Touch me and you'll never be alone  I-Island breeze and lights down low  No one has to know  In the middle of the night, in my dreams  You should see the things we do, baby  In the middle of the night, in my dreams  I know I'm gonna be with you, so I take my time  Are you ready for it?  Knew I was a robber first time that he saw me  Stealing hearts and running off and never sayin' sorry  But if I'm a thief, then he can join the heist, and  We'll move to an island, and  And he can be my jailer, Burton to this Taylor  Every love I've known in comparison is a failure  I forget their names now, I'm so very tame now  Never be the same now, now  I-Island breeze and lights down low  No one has to know (No one has to know)  You should see the things we do, baby  In the middle of the night in my dreams  I know I'm gonna be with you, so I take my time  Are you ready for it?  Oh, are you ready for it?  Baby, let the games begin  Let the games begin  Let the games begin  Baby, let the games begin  Let the games begin  In the middle of the night (Night), in my dreams (My dreams)  You should see the things we do (We do), baby (Baby), hmm (Eh)  In the middle of the night, in my dreams (My dreams)  I know I'm gonna be with you (I know I'm gonna be with you)  So I take my time  In the middle of the night  Let the games begin  Are you ready for it?  Baby, let the games begin  Are you ready for it?"
If This Was a Movie,Speak Now (Deluxe),"Last night, I heard my own heart beating  Sounded like footsteps on my stairs  Six months gone and I'm still reaching  Even though I know you're not there  I was playing back a thousand memories, baby  Thinking 'bout everything we've been through  Maybe I've been going back too much lately  When time stood still and I had you  Come back, come back, come back to me like  You would, you would if this was a movie  Stand in the rain outside 'til I came out  Come back, come back, come back to me like  You could, you could if you just said you're sorry  I know that we could work it out somehow  But if this was a movie, you'd be here by now  I know people change and these things happen  But I remember how it was back then  Wrapped up in your arms and our friends were laughin'  'Cause nothing like this ever happened to them  Now I'm pacing down the hall, chasing down your street  Flashback to the night when you said to me  That nothing's gonna change, not for me and you  Back before I knew how much I had to lose  I know that we could work it out somehow  But if this was a movie you'd be here by now  If you're out there, if you're somewhere, if you're moving on  I've been waiting for you ever since you've been gone  I just want it back the way it was before  And I just want to see you back at my front door  And I say, ""Come back, come back, come back to me like  You would before you said it's not that easy  Before the fight, before I locked you out  But I take it all back now""  You'd be here by now  It's not the kind of ending you want to see now  Baby, what about the ending?  Oh, I thought you'd be here by now  Oh, oh  Thought you'd be here by now"
Ours,Speak Now (Deluxe),"Elevator buttons and morning air  Strangers' silence makes me want to take the stairs  If you were here, we'd laugh about their vacant stares  But right now, my time is theirs  Seems like there's always someone who disapproves  They'll judge it like they know about me and you  And the verdict comes from those with nothing else to do  The jury's out, but my choice is you  So don't you worry your pretty little mind  People throw rocks at things that shine  And life makes love look hard  The stakes are high, the water's rough  But this love is ours  You never know what people have up their sleeves  Ghosts from your past gonna jump out at me  Lurking in the shadows with their lip gloss smiles  But I don't care, 'cause right now, you're mine  And you'll say  Don't you worry your pretty little mind  People throw rocks at things that shine  And it's not theirs to speculate if it's wrong and  Your hands are tough, but they are where mine belong and  I'll fight their doubt and give you faith with this song for you  'Cause I love the gap between your teeth  And I love the riddles that you speak  And any snide remarks from my father about your tattoos  Will be ignored, 'cause my heart is yours  And life makes love look hard  Don't you worry your pretty little mind  People throw rocks at things that shine  But they can't take what's ours  They can't take what's ours  The stakes are high, the water's rough"
